id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
134607,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,07/02/2016,Regional Mixed Migration Secretariat,,14.02429199,35.36871338,UNKNOWN
134608,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,4.0,North Africa,07/02/2016,Regional Mixed Migration Secretariat,,22.27508545,21.75292969,UNKNOWN
134609,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),0,1.0,Horn of Africa,10/02/2016,Regional Mixed Migration Secretariat,,10.35870361,44.87652588,UNKNOWN
134610,Shot_or_Stabbed,Horn of Africa (P),0,1.0,Horn of Africa,11/02/2016,Regional Mixed Migration Secretariat,,12.60308838,37.4520874,UNKNOWN
134611,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,7.0,North Africa,11/02/2016,Regional Mixed Migration Secretariat,,23.20129395,22.1428833,UNKNOWN
134612,Shot_or_Stabbed,Horn of Africa (P),0,1.0,North Africa,11/02/2016,Regional Mixed Migration Secretariat,,13.00750732,36.1519165,UNKNOWN
134613,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,3.0,North Africa,11/02/2016,Regional Mixed Migration Secretariat,,26.92510986,14.65588379,UNKNOWN
134614,Shot_or_Stabbed,Horn of Africa (P),0,3.0,North Africa,12/02/2016,Regional Mixed Migration Secretariat,,12.93927002,36.128479,UNKNOWN
134615,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,6.0,North Africa,12/02/2016,Regional Mixed Migration Secretariat,,23.47491455,22.32849121,UNKNOWN
134616,Shot_or_Stabbed,Horn of Africa (P),0,2.0,North Africa,12/02/2016,Regional Mixed Migration Secretariat,,13.93188477,35.41992188,UNKNOWN
134617,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,3.0,North Africa,12/02/2016,Regional Mixed Migration Secretariat,,23.32269287,21.81488037,UNKNOWN
134618,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter Suffocation,Horn of Africa (P),0,2.0,North Africa,16/02/2016,Regional Mixed Migration Secretariat,,24.01727295,32.36029053,UNKNOWN
134619,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,8.5546875,47.13128662,UNKNOWN
134620,Shot_or_Stabbed,Horn of Africa (P),0,1.0,Horn of Africa,17/02/2016,Regional Mixed Migration Secretariat,,12.59967041,37.44848633,UNKNOWN
134621,Vehicle_Accident,Horn of Africa (P),0,1.0,Horn of Africa,17/02/2016,Regional Mixed Migration Secretariat,,9.25567627,42.80267334,UNKNOWN
134622,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,3.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,26.95770264,14.46350098,UNKNOWN
134623,Shot_or_Stabbed,Horn of Africa (P),0,2.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,12.95269775,36.18768311,UNKNOWN
134624,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,32.42791748,13.64208984,UNKNOWN
134625,Excessive_physical_abuse,Horn of Africa (P),0,3.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,12.96148682,36.14849854,UNKNOWN
134626,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,6.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,30.21472168,20.14031982,UNKNOWN
134627,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,5.0,North Africa,17/02/2016,Regional Mixed Migration Secretariat,,23.30908203,21.85369873,UNKNOWN
134628,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,18.73608398,28.65228272,UNKNOWN
134629,"Starvation, Dehydration",Horn of Africa (P),0,1.0,Horn of Africa,18/02/2016,Regional Mixed Migration Secretariat,,17.703125,38.36669922,UNKNOWN
134630,Vehicle_Accident,Horn of Africa (P),0,2.0,Sub-Saharan Africa,18/02/2016,Regional Mixed Migration Secretariat,,-9.040710449,32.96307373,UNKNOWN
134631,Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),0,3.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,15.47369385,36.41687012,UNKNOWN
134632,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,6.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,30.21472168,20.14031982,UNKNOWN
134633,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,16.67431641,33.44970703,UNKNOWN
134634,Sickness_and_lack_of_access_to_medicines Shot_or_Stabbed,Horn of Africa (P),0,25.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,23.1796875,22.18011475,UNKNOWN
134635,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,14.00769043,35.44189453,UNKNOWN
134636,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,3.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,23.14428711,21.78588867,UNKNOWN
134637,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,15.47528076,36.46667481,UNKNOWN
134638,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,3.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,27.00872803,14.44909668,UNKNOWN
134639,Shot_or_Stabbed,Horn of Africa (P),0,6.0,Horn of Africa,18/02/2016,Regional Mixed Migration Secretariat,,11.57427979,37.36132813,UNKNOWN
134640,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,22.03088379,23.95031738,UNKNOWN
134641,Shot_or_Stabbed,Horn of Africa (P),0,2.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,14.27587891,33.51391602,UNKNOWN
134642,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,8.0,North Africa,18/02/2016,Regional Mixed Migration Secretariat,,23.276916500000002,21.8270874,UNKNOWN
134643,"Suffocation, Other",Horn of Africa (P),0,1.0,North Africa,19/02/2016,Regional Mixed Migration Secretariat,,27.73370361,30.79071045,UNKNOWN
134644,Vehicle_Accident,Horn of Africa (P),0,2.0,North Africa,19/02/2016,Regional Mixed Migration Secretariat,,15.44732666,32.57867432,UNKNOWN
134645,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,20/02/2016,Regional Mixed Migration Secretariat,,24.08892822,32.89990234,UNKNOWN
134646,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,23.79089356,32.74212647,UNKNOWN
134647,Shot_or_Stabbed,Horn of Africa (P),0,13.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,23.29211426,22.03027344,UNKNOWN
134648,Vehicle_Accident,Horn of Africa (P),0,3.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,14.01208496,35.41448975,UNKNOWN
134649,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,3.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,20.56347656,23.5546875,UNKNOWN
