id,cause_of_death,missing,dead,affected_nationality
293,Drowning,18.0,2.0,Indonesia
299,Drowning,188.0,12.0,Syria
306,Asphyxiation,0.0,2.8125,Syria
306,Asphyxiation,0.0,2.8125,Eritrea
306,Asphyxiation,0.0,2.8125,Somalia
306,Asphyxiation,0.0,2.8125,Cameroon
307,Drowning,4.0,2.0,Syria
309,Drowning,240.0,0.0,Eritrea
314,Drowning,26.0,9.0,Indonesia
315,Beaten to death,0.0,4.0,Africa
329,Drowning,2.0,3.0,Africa
332,Drowning,0.0,4.0,Central Africa Republic
335,Hyperthermia,0.0,1.0,Mexico
337,Drowning,0.0,62.0,Ethiopia
342,Asphyxiation,0.0,1.0,Afghanistan
343,Fell from truck,0.0,1.0,Sudan
349,Dehydration,33.0,13.0,Niger
355,Drowning,0.0,0.4444444444444444,Eritrea
355,Drowning,0.0,0.4444444444444444,Ethiopia
355,Drowning,0.0,0.4444444444444444,Somalia
356,Fell from truck,0.0,1.0,Eritrea
359,Drowning,40.0,0.0,Somalia
361,Blunt force injuries,0.0,1.0,Mexico
362,Hyperthermia,0.0,1.0,Mexico
364,Shot,0.0,5.0,Uighur
367,Drowning,1.0,8.0,Syria
374,Drowning,0.0,17.0,Zimbabwe
380,Fell from wall,0.0,1.0,El Salvador
384,Drowning,0.0,251.0,Democratic Republic of the Congo
385,Drowning,2.0,7.0,Syria
386,Asphyxiation,0.0,1.0,Africa
387,Vehicle accident,0.0,1.0,Ethiopia
391,Vehicle accident,0.0,1.0,Ethiopia
392,Drowning,44.0,0.0,Somalia
393,Found hanged,0.0,1.0,Ecuador
394,Hit by vehicle,0.0,1.0,Albania
395,Hyperthermia,0.0,1.0,Guatemala
396,Drowning,0.0,7.0,Somalia
397,Shot,0.0,1.0,Bangladesh
398,Drowning,6.0,11.0,Ethiopia
401,Drowning,0.0,8.0,Haiti
403,Shot,0.0,1.0,Mexico
409,Shot,0.0,15.0,Africa
410,Vehicle accident,0.0,1.0,Iran
411,Drowning,0.0,1.0,Haiti
419,Drowning,0.0,3.0,Afghanistan
419,Drowning,0.0,3.0,Syria
421,Shot,0.0,1.0,Mexico
422,Hyperthermia,0.0,1.0,Sudan
427,Dehydration,750.0,0.0,Mixed
428,Mixed,0.0,41.0,Guatemala
430,Mixed,0.0,64.0,El Salvador
432,Drowning,4.0,34.0,Syria
433,Drowning,0.0,4.0,Iraq
434,Drowning,1.0,0.0,Syria
436,Plane stowaway,0.0,1.0,Reported as unspecified national of Africa
441,Drowning,0.0,1.0,Syria
443,Drowning,5.0,0.0,Gambia
443,Drowning,5.0,0.0,Nigeria
447,Drowning,10.75,0.25,Somalia
447,Drowning,10.75,0.25,Sudan
450,Drowning,0.0,61.0,Indonesia
452,Drowning,0.75,1.75,Syria
452,Drowning,0.75,1.75,Iraq
453,Drowning,0.0,5.0,Syria
454,Drowning,0.0,1.0,Syria
459,Suffocation,0.0,2.0,Nigeria
463,Pulmonary edema,0.0,1.0,Somalia
465,Drowning,91.0,111.0,Somalia
467,Suffocation,0.0,7.88888888888889,Syria
467,Suffocation,0.0,7.88888888888889,Iraq
467,Suffocation,0.0,7.88888888888889,Afghan
469,Drowning,4.0,2.0,Iraq
475,Drowning,0.0,6.0,Syria
483,Drowning,0.0,30.0,Syria
492,Asphyxiation,0.0,49.0,Mixed
493,Vehicle accident,0.0,10.0,Syria
494,Drowning,202.0,25.0,Syria
498,Suffocation,0.0,1.0,Moroccan
499,Drowning,0.0,1.0,Nigeria
499,Drowning,0.0,1.0,Cameroon
504,Road accident,0.0,1.0,Pakistani
506,Hit by vehicle,0.0,1.0,Sudan
508,Drowning,2.5,0.0,Somalia
508,Drowning,2.5,0.0,Eritrea
508,Drowning,2.5,0.0,Benin
508,Drowning,2.5,0.0,Mali
509,Drowning,0.0,1.0,Eritrean
511,Hit by vehicle,0.0,1.0,Pakistani
512,Dehydration,0.0,1.0,Syria
516,Hit by vehicle,0.0,1.0,Sudanese
519,Fell from train,0.0,1.0,Eritrea
526,Hit by vehicle,0.0,1.0,Eritrea
529,Vehicle accident,0.0,2.5,Guatemala
529,Vehicle accident,0.0,2.0,El Salvador
530,Fell from train,0.0,1.0,Eritrea
531,Drowning,0.0,6.0,Syria
536,Drowning,0.0,1.0,Gambia
536,Drowning,0.0,0.5,Bissau
545,Hit by vehicle,0.0,1.0,Eritrea
550,Fell from train,0.0,1.0,Mexico
551,Drowning,0.0,5.0,Africa
552,Drowning,0.0,5.0,Tunisia
554,Inhalation of toxic fumes,0.0,1.0,Eritrea
555,Drowning,0.0,8.0,Malagasy
559,Drowning,0.0,11.75,Myanmar
559,Drowning,0.0,11.75,Bangladesh
561,Drowning,41.0,5.0,Mixed
565,Vehicle accident,0.0,12.0,Nigeria
566,Vehicle accident,0.0,1.0,Afghan
569,Drowning,0.0,0.75,Syria
569,Drowning,0.0,0.75,Afghanistan
1363,Vehicle accident,0.0,1.0,Afghanistan
1766,Drowning,0.0,10.0,Afghanistan
2166,Drowning,0.0,1.0,Syria
3765,Shot,0.0,15.0,Sudan
3766,Shot,0.0,1.0,Sudan
5763,Drowning,0.0,8.0,Egypt
7763,Shot,0.0,5.0,Sudan
7764,Drowning,7.0,8.0,Syria
8164,Train accident,0.0,3.5,Somalia
8164,Train accident,0.0,3.5,Afghanistan
9763,Drowning,0.0,4.0,Afghanistan
10963,Drowning,30.0,3.0,Syria
11364,Hit by vehicle,0.0,1.0,El Salvador
11764,Attacked by hippopotamus,0.0,3.0,Zimbabwe
12163,Electrocution,0.0,1.0,Moroccan
12563,Hit by vehicle,0.0,1.0,Sudan
12564,Hit by vehicle,0.0,1.0,Ethiopia
12565,Drowning,0.0,6.0,Afghan
12566,Drowning,9.0,4.0,Iraq
12964,Drowning,27.0,11.0,Africa
12965,Vehicle accident,0.0,7.0,Ethiopia
14565,Drowning,0.0,2.0,Iraq
14965,Drowning,0.0,0.4444444444444444,Iraq
14965,Drowning,0.0,0.4444444444444444,Syria
14965,Drowning,0.0,0.4444444444444444,Afghanistan
15764,Drowning,0.0,4.0,Iraq
16166,Drowning,0.0,9.0,Iraq
16166,Drowning,0.0,9.0,Algeria
16563,Drowning,0.0,1.0,Syria
16568,Vehicle accident,0.0,4.0,Syria
16963,Vehicle accident,0.0,7.0,Syria
16964,Drowning,0.0,3.0,Afghanistan
17363,Drowning,8.0,1.0,Somalia
17763,Drowning,18.0,0.0,Ethiopia
17763,Drowning,18.0,0.0,Somalia
18566,Hypothermia,0.0,1.0,India
